Area,2004,2005,2006,2007,2008,2009,2010
Acadia,28.7,29.8,30.1,29.9,30.8,32.5,31.9
Allen,29,29.8,31,31.3,33.8,38.4,37.5
Ascension,25.1,25.4,27.3,27.5,30.8,31.8,34.1
Assumption,29,29.6,30.5,30.8,32.4,32.8,33
Avoyelles,28.6,29.3,31.1,30.8,34.3,36.9,38.8
Beauregard,26,26.9,27.4,29.3,30.6,32.6,32.8
Bienville,30.7,30.1,32.5,33,36.5,39.1,39.4
Bossier,24.8,26.1,27.3,26.9,29,31,33.6
Caddo,26.9,25.5,27.4,27.5,31.1,32.1,33.8
Calcasieu,26.5,27.9,31.2,31.4,33.4,34.5,34.3
Caldwell,27.8,28.7,29.2,29.3,31.1,37.5,40.6
Cameron,25.5,27.7,29.2,28.7,29.6,32.1,35.4
Catahoula,27.7,29.5,30.8,31.2,31.9,34,35.7
Claiborne,30.2,30.8,31.4,31.3,32.8,34.2,35.5
Concordia,28,30.4,32.8,31.7,32.9,33.1,35.2
De Soto,30.4,29.3,30.1,30.9,34.2,36.6,36.6
East Baton Rouge,24.8,26.6,28.7,27.5,29.4,31.5,33.4
East Carroll,31.9,32.2,34.6,34,36.2,36.2,41.4
East Feliciana,30.6,31.5,32.9,32.8,34.2,34.9,35
Evangeline,27.6,27.6,29.8,30,31.5,33,31.2
Franklin,27.2,28.8,32.6,31.8,34.6,36.2,35.4
Grant,27.5,26.4,29,28.8,31.9,31.6,33
Iberia,25.5,26.6,30,30.8,32.9,33.7,36.5
Iberville,30.2,30.9,33.3,32.1,33.2,36.8,38
Jackson,25.8,25.2,28,27.9,29.6,30.6,35.1
Jefferson,26.9,25.8,27.3,27.8,30,31.9,31.7
Jefferson Davis,27,28.1,32.3,31.8,34.6,33.2,34.2
La Salle,27.3,27.5,28.5,28.4,31.3,32.7,35.4
Lafayette,24.5,25.2,24.8,25.1,27.5,29.1,29.3
Lafourche,28.7,28.5,28.6,29.1,34.2,35.7,37.6
Lincoln,29.6,29.5,31.2,30.4,32.5,34.4,32.7
Livingston,26.1,27.1,28.1,29.2,29.6,30.8,32.7
Madison,32.4,32.8,32.9,32.6,34.4,36.7,40.1
Morehouse,29.1,30.6,31.8,32.7,35.2,37.8,39.1
Natchitoches,28.4,28.2,30.7,30.9,33.8,35.7,39
Orleans,29.4,29.5,28.1,26.9,28.9,29.7,30.7
Ouachita,27.1,27,28.8,28.2,31.9,31.8,33.4
Plaquemines,27.6,27.6,29.8,30.4,32.6,34,33.4
Pointe Coupee,29.5,28.3,29.6,30.3,32.4,31.9,31.8
Rapides,27.6,28.1,29.5,29.9,31,32.6,34.3
Red River,30.8,31.5,32.3,31.8,34.2,34.8,33.6
Richland,29,28.8,33.1,33.5,36,36.3,38.7
Sabine,27.3,29.1,30.2,31.7,34.6,36.2,36.7
St. Bernard,27.4,29,29.4,28.3,30.2,32.3,35.5
St. Charles,28.4,31.5,31.9,31.7,31.6,32.2,32.8
St. Helena,29.3,29.1,32,32.3,35.1,36.4,37.1
St. James,27.8,29.5,31.6,33.1,33.6,35.7,35.8
St. John the Baptist,27.9,28.2,32.3,34.8,38.9,38.5,36
St. Landry,29.4,29.2,28.6,29.9,33.8,38.1,41.4
St. Martin,28.3,29.8,30.5,31.6,32.9,35.5,35.2
St. Mary,31.7,32.9,32.8,33,34.9,37.9,37.6
St. Tammany,22.3,23.6,25.7,25.7,26.8,27.2,28.5
Tangipahoa,26.9,29.5,31.6,32.1,34.5,35.3,36.5
Tensas,29.8,31.1,33.8,33,34.9,35.4,35.2
Terrebonne,30.3,28.7,29.6,29.6,36.3,38.9,39.6
Union,28,30.5,31.6,31.7,33.8,35.7,36.3
Vermilion,26.5,25.7,28.2,28.3,31.4,33.3,32.6
Vernon,26.1,27.7,31.4,31.2,33.9,36.4,37.5
Washington,29.2,30.4,33.4,31.8,34.4,34.3,38.4
Webster,28.6,28.3,30.7,31.2,33.9,35.7,33.7
West Baton Rouge,28.2,29.3,31.2,30.9,31.6,31.8,32.4
West Carroll,26,26.7,30.4,29.6,31.1,31.5,37.2
West Feliciana,29.5,29.6,32.1,31.9,34.3,32.3,34.1
Winn,28.4,29.5,32,31.2,32.1,32.6,34
